Full_Name,Email,Phone,Address,Order_Date,Product,Price,Quantity,Remarks
Kiran Sharma,user467@example.com,7049074980,Delhi!!!,13-10-2023,Tablet,24066.42,3, !!!
Anu Sharma,user447@example.com,7270719619,  Chennai  ,26-07-2021,Tablet,20146.55,3,  ok  
John Singh,user383@example.com,6423819989,Chennai!!!,17-03-2025,Camera,49930.85,3,  urgent  
Kiran Singh,,9740000478,Delhi!!!,26-11-2025,Headphones,47758.74,9,review!!!
Kiran Das,user458@example.com,8427877062,  Delhi  ,01-05-2023,Mobile,11560.77,6,deliver fast!!!
John Singh,user418@example.com,6435595634,Bangalore!!!,24-07-2020,Camera,33774.62,6,  review  
John Reddy,user460@example.com,7266799164,Bangalore!!!,15-06-2023,Tablet,17247.6,6,deliver fast!!!
John Singh,user436@example.com,6836752869,Bangalore!!!,17-01-2023,Tablet,46581.16,1,review!!!
Anu Kumar,user203@example.com,7495527579,Hyderabad!!!,06-03-2020,Mobile,14524.32,7,deliver fast!!!
John Reddy,user314@example.com,9086472411,  Mumbai  ,17-07-2021,Tablet,24187.77,8,urgent!!!
Meena Singh,user167@example.com,7123527732,Mumbai!!!,27-02-2023,Headphones,49375.73,10,deliver fast!!!
Anu Kumar,user351@example.com,7077324801,Mumbai!!!,05-11-2020,Tablet,34520.04,2,ok!!!
Anu Singh,user83@example.com,,Bangalore!!!,06-01-2024,Laptop,27251.28,5,urgent!!!
Raj Kumar,user107@example.com,9357994874,Chennai!!!,28-05-2020,Laptop,21241.45,4,urgent!!!
Raj Reddy,user490@example.com,7409069490,  Chennai  ,10-11-2023,Headphones,24733.57,5,deliver fast!!!
Kiran Das,user177@example.com,9193873913,Mumbai!!!,07-08-2025,Tablet,40016.91,8,  review  
Anu Kumar,user6@example.com,6945719496,  Hyderabad  ,25-03-2025,Camera,21273.71,9,  urgent  
Meena Sharma,user415@example.com,9071547213,  Hyderabad  ,03-06-2020,Laptop,22657.54,5,review!!!
Raj Reddy,user14@example.com,7968005218,  Hyderabad  ,23-04-2021,Tablet,35211.55,6,urgent!!!
Raj Sharma,user364@example.com,6555316532,Hyderabad!!!,14-10-2024,Camera,5826.96,9,urgent!!!
Anu Das,user472@example.com,8744931637,  Hyderabad  ,17-05-2024,Camera,39539.48,6,review!!!
Raj Das,user275@example.com,,Hyderabad!!!,16-03-2024,Laptop,36533.44,7,  deliver fast  
John Kumar,user182@example.com,7361760546,  Delhi  ,21-11-2023,Laptop,23516.6,9,  urgent  
John Das,user377@example.com,7716002687,Hyderabad!!!,24-06-2022,Headphones,2422.17,5,     
Meena Singh,user436@example.com,7442891031,  Mumbai  ,25-07-2022,Camera,42978.48,3,urgent!!!
Kiran Sharma,user272@example.com,6451026921,  Bangalore  ,27-06-2024,Tablet,26629.02,7,     
Kiran Singh,,6793797743,  Delhi  ,13-01-2024,Mobile,9381.68,7,  deliver fast  
John Sharma,user64@example.com,8584333957,Bangalore!!!,11-11-2025,Tablet,31632.37,2,review!!!
John Das,user81@example.com,8347527952,  Chennai  ,14-01-2025,Laptop,29747.36,2,urgent!!!
John Das,user395@example.com,,Mumbai!!!,02-11-2025,Mobile,37628.53,8,review!!!
Meena Reddy,user98@example.com,8973948938,  Hyderabad  ,25-02-2025,Headphones,22080.84,1,  ok  
John Singh,,7371781534,  Mumbai  ,13-07-2023,Camera,42716.67,9,  deliver fast  
Meena Reddy,user55@example.com,9606136582,Hyderabad!!!,28-06-2023,Mobile,13124.97,6,urgent!!!
Meena Singh,user290@example.com,9798732365,Hyderabad!!!,18-12-2020,Mobile,1784.74,5,review!!!
Raj Singh,user295@example.com,9770645334,  Hyderabad  ,01-10-2020,Tablet,33117.55,4,urgent!!!
Kiran Reddy,user178@example.com,7541581290,Bangalore!!!,09-04-2025,Headphones,23316.52,1, !!!
Kiran Sharma,user69@example.com,6333449484,  Hyderabad  ,04-10-2025,Camera,16789.29,10,  ok  
Anu Sharma,user185@example.com,,  Hyderabad  ,10-02-2023,Mobile,25696.69,4,  ok  
Anu Sharma,user397@example.com,,Chennai!!!,03-05-2024,Laptop,46218.25,5,  deliver fast  
Raj Kumar,user83@example.com,9491836241,  Chennai  ,16-11-2020,Mobile,44053.49,2,deliver fast!!!
Raj Kumar,user244@example.com,9669424549,Delhi!!!,03-02-2023,Camera,37711.94,1,  deliver fast  
Raj Kumar,user261@example.com,7340558727,Delhi!!!,11-05-2022,Mobile,3950.83,2,  review  
Anu Kumar,user27@example.com,7644846083,  Bangalore  ,18-12-2021,Laptop,37459.75,4,deliver fast!!!
